actor,type,actor,created_at,repo,repo_created_at,repo_url,timestamp,type
jakevdp,IssueCommentEvent,1443,1443,1443,1318,1443,1443,1443
jakevdp,PushEvent,1419,1419,1419,1137,1419,1419,1419
adrn,PushEvent,1334,1334,1334,1077,1334,1334,1334
RuthAngus,PushEvent,906,906,906,639,906,906,906
drphilmarshall,IssuesEvent,712,712,712,491,712,712,712
drphilmarshall,IssueCommentEvent,673,673,673,383,673,673,673
drphilmarshall,PushEvent,601,601,601,380,601,601,601
kbarbary,PushEvent,584,584,584,378,584,584,584
jonathansick,PushEvent,521,521,521,350,521,521,521
davidwhogg,PushEvent,512,512,512,397,512,512,512
davidwhogg,IssueCommentEvent,499,499,499,339,499,499,499
kbarbary,IssueCommentEvent,487,487,487,306,487,487,487
jradavenport,PushEvent,475,475,475,257,475,475,475
fperez,IssueCommentEvent,373,373,373,280,373,373,373
jakevdp,PullRequestEvent,364,364,364,341,364,364,364
davidwhogg,IssuesEvent,304,304,304,206,304,304,304
rbiswas4,PushEvent,288,288,288,148,288,288,288
kapadia,PushEvent,276,276,276,147,276,276,276
gully,PushEvent,269,269,269,197,269,269,269
sofiatti,PushEvent,213,213,213,156,213,213,213
karenyyng,PushEvent,188,188,188,57,188,188,188
adrn,IssueCommentEvent,181,181,181,129,181,181,181
rhiannonlynne,PushEvent,154,154,154,18,154,154,154
jonathansick,WatchEvent,148,148,148,94,148,148,148
jakevdp,CreateEvent,145,145,145,111,145,145,145
jakevdp,IssuesEvent,128,128,128,113,128,128,128
jakevdp,PullRequestReviewCommentEvent,120,120,120,116,120,120,120
gully,WatchEvent,111,111,111,65,111,111,111
kbarbary,PullRequestEvent,110,110,110,53,110,110,110
fperez,PushEvent,106,106,106,73,106,106,106
ivezic,PushEvent,105,105,105,20,105,105,105
yoachim,PushEvent,100,100,100,18,100,100,100
kapadia,IssueCommentEvent,100,100,100,48,100,100,100
kbarbary,IssuesEvent,100,100,100,67,100,100,100
jonathansick,IssueCommentEvent,100,100,100,66,100,100,100
ryanmaas,PushEvent,99,99,99,20,99,99,99
bareid,PushEvent,95,95,95,75,95,95,95
adrn,CreateEvent,90,90,90,66,90,90,90
kbarbary,CreateEvent,90,90,90,64,90,90,90
rbiswas4,IssueCommentEvent,87,87,87,40,87,87,87
kapadia,WatchEvent,87,87,87,69,87,87,87
adrn,IssuesEvent,84,84,84,66,84,84,84
jakevdp,GollumEvent,83,83,83,83,83,83,83
kapadia,CreateEvent,83,83,83,54,83,83,83
drphilmarshall,GollumEvent,81,81,81,36,81,81,81
nhuntwalker,PushEvent,79,79,79,71,79,79,79
jradavenport,WatchEvent,76,76,76,48,76,76,76
dhuppenkothen,PushEvent,74,74,74,31,74,74,74
patti,PushEvent,72,72,72,20,72,72,72
ogtelford,GollumEvent,70,70,70,1,70,70,70
jonathansick,GollumEvent,69,69,69,5,69,69,69
adrn,PullRequestEvent,68,68,68,54,68,68,68
kapadia,IssuesEvent,67,67,67,35,67,67,67
jradavenport,IssueCommentEvent,65,65,65,13,65,65,65
fperez,GollumEvent,64,64,64,50,64,64,64
jonathansick,IssuesEvent,64,64,64,53,64,64,64
jradavenport,IssuesEvent,63,63,63,9,63,63,63
jonathansick,CreateEvent,62,62,62,39,62,62,62
sofiatti,CreateEvent,60,60,60,43,60,60,60
jakevdp,DeleteEvent,58,58,58,48,58,58,58
fperez,PullRequestEvent,54,54,54,23,54,54,54
kbarbary,PullRequestReviewCommentEvent,54,54,54,52,54,54,54
ogtelford,PushEvent,49,49,49,10,49,49,49
jradavenport,GollumEvent,43,43,43,2,43,43,43
jradavenport,CreateEvent,43,43,43,26,43,43,43
fperez,IssuesEvent,41,41,41,31,41,41,41
rbiswas4,CreateEvent,41,41,41,21,41,41,41
yalsayyad,PushEvent,41,41,41,1,41,41,41
drphilmarshall,CreateEvent,38,38,38,27,38,38,38
ivezic,PullRequestEvent,37,37,37,5,37,37,37
gully,CreateEvent,37,37,37,31,37,37,37
wilmatrick,PushEvent,37,37,37,0,37,37,37
adrn,PullRequestReviewCommentEvent,34,34,34,19,34,34,34
rbiswas4,IssuesEvent,34,34,34,13,34,34,34
kapadia,ReleaseEvent,33,33,33,32,33,33,33
RuthAngus,CreateEvent,33,33,33,23,33,33,33
fperez,PullRequestReviewCommentEvent,32,32,32,26,32,32,32
RuthAngus,IssueCommentEvent,31,31,31,2,31,31,31
jonathansick,PullRequestEvent,30,30,30,22,30,30,30
rbiswas4,PullRequestEvent,30,30,30,8,30,30,30
karenyyng,CreateEvent,29,29,29,11,29,29,29
nhuntwalker,CreateEvent,28,28,28,21,28,28,28
karenyyng,WatchEvent,27,27,27,21,27,27,27
drphilmarshall,PullRequestEvent,27,27,27,19,27,27,27
fperez,CreateEvent,27,27,27,18,27,27,27
drphilmarshall,MemberEvent,26,26,26,13,26,26,26
gully,GollumEvent,25,25,25,16,25,25,25
kapadia,PullRequestEvent,24,24,24,1,24,24,24
dhuppenkothen,CreateEvent,23,23,23,12,23,23,23
rhiannonlynne,IssueCommentEvent,21,21,21,4,21,21,21
gully,ForkEvent,21,21,21,17,21,21,21
gully,PullRequestEvent,20,20,20,18,20,20,20
gully,IssueCommentEvent,19,19,19,7,19,19,19
davidwhogg,CreateEvent,19,19,19,16,19,19,19
kbarbary,DeleteEvent,18,18,18,8,18,18,18
patti,CreateEvent,18,18,18,4,18,18,18
adrn,MemberEvent,18,18,18,18,18,18,18
jmankin,CreateEvent,18,18,18,14,18,18,18
ivezic,IssueCommentEvent,17,17,17,8,17,17,17
yalsayyad,CreateEvent,17,17,17,1,17,17,17
jmankin,PushEvent,17,17,17,9,17,17,17
yoachim,CreateEvent,16,16,16,4,16,16,16
jakevdp,ForkEvent,15,15,15,11,15,15,15
jakevdp,CommitCommentEvent,15,15,15,15,15,15,15
rhiannonlynne,CreateEvent,15,15,15,1,15,15,15
rhiannonlynne,PullRequestEvent,14,14,14,2,14,14,14
jonathansick,ForkEvent,14,14,14,8,14,14,14
ogtelford,CreateEvent,14,14,14,9,14,14,14
jonathansick,DeleteEvent,13,13,13,10,13,13,13
patti,GollumEvent,13,13,13,0,13,13,13
RuthAngus,IssuesEvent,13,13,13,3,13,13,13
rhiannonlynne,GollumEvent,12,12,12,1,12,12,12
davidwhogg,WatchEvent,12,12,12,12,12,12,12
davidwhogg,CommitCommentEvent,11,11,11,8,11,11,11
drphilmarshall,ForkEvent,11,11,11,7,11,11,11
profjsb,PushEvent,11,11,11,6,11,11,11
karenyyng,IssueCommentEvent,11,11,11,4,11,11,11
kbarbary,ForkEvent,11,11,11,6,11,11,11
davidwhogg,PullRequestEvent,10,10,10,8,10,10,10
karenyyng,ForkEvent,10,10,10,2,10,10,10
yoachim,IssueCommentEvent,10,10,10,7,10,10,10
RuthAngus,MemberEvent,10,10,10,6,10,10,10
kapadia,DeleteEvent,10,10,10,2,10,10,10
rhiannonlynne,PullRequestReviewCommentEvent,10,10,10,2,10,10,10
rhiannonlynne,IssuesEvent,10,10,10,1,10,10,10
karenyyng,IssuesEvent,9,9,9,4,9,9,9
davidwhogg,MemberEvent,9,9,9,5,9,9,9
gully,IssuesEvent,9,9,9,5,9,9,9
rbiswas4,ForkEvent,9,9,9,5,9,9,9
kapadia,ForkEvent,9,9,9,7,9,9,9
kbarbary,WatchEvent,9,9,9,6,9,9,9
bareid,CreateEvent,7,7,7,5,7,7,7
RuthAngus,PullRequestEvent,7,7,7,6,7,7,7
RuthAngus,ForkEvent,7,7,7,6,7,7,7
patti,PullRequestEvent,7,7,7,0,7,7,7
lvrzhn,GollumEvent,7,7,7,7,7,7,7
yalsayyad,PullRequestEvent,7,7,7,0,7,7,7
jonathansick,PublicEvent,7,7,7,7,7,7,7
ogtelford,PullRequestEvent,7,7,7,1,7,7,7
sofiatti,IssuesEvent,7,7,7,6,7,7,7
karenyyng,MemberEvent,7,7,7,1,7,7,7
rbiswas4,PullRequestReviewCommentEvent,7,7,7,7,7,7,7
Waelthus,PushEvent,6,6,6,6,6,6,6
dhuppenkothen,MemberEvent,6,6,6,2,6,6,6
bareid,ForkEvent,6,6,6,3,6,6,6
fperez,ForkEvent,6,6,6,4,6,6,6
jakevdp,MemberEvent,6,6,6,6,6,6,6
jradavenport,MemberEvent,6,6,6,1,6,6,6
rbiswas4,CommitCommentEvent,6,6,6,3,6,6,6
patti,IssueCommentEvent,6,6,6,1,6,6,6
rhiannonlynne,DeleteEvent,6,6,6,0,6,6,6
sofiatti,ForkEvent,5,5,5,3,5,5,5
nhuntwalker,GollumEvent,5,5,5,5,5,5,5
davidwhogg,ForkEvent,5,5,5,3,5,5,5
davidwhogg,GollumEvent,5,5,5,5,5,5,5
ryanmaas,CreateEvent,5,5,5,3,5,5,5
wilmatrick,CreateEvent,5,5,5,3,5,5,5
kapadia,CommitCommentEvent,5,5,5,5,5,5,5
patti,ForkEvent,5,5,5,0,5,5,5
adrn,ForkEvent,5,5,5,4,5,5,5
jradavenport,PullRequestEvent,5,5,5,3,5,5,5
profjsb,ForkEvent,5,5,5,4,5,5,5
jradavenport,ForkEvent,5,5,5,2,5,5,5
jakevdp,WatchEvent,5,5,5,2,5,5,5
Waelthus,CreateEvent,5,5,5,5,5,5,5
fperez,DeleteEvent,5,5,5,1,5,5,5
rhiannonlynne,ForkEvent,4,4,4,1,4,4,4
kbarbary,ReleaseEvent,4,4,4,2,4,4,4
profjsb,CreateEvent,4,4,4,2,4,4,4
ivezic,CreateEvent,4,4,4,1,4,4,4
jonathansick,CommitCommentEvent,4,4,4,4,4,4,4
bareid,GollumEvent,4,4,4,4,4,4,4
karenyyng,GollumEvent,4,4,4,1,4,4,4
sofiatti,PullRequestEvent,4,4,4,3,4,4,4
yoachim,IssuesEvent,4,4,4,4,4,4,4
kbarbary,CommitCommentEvent,4,4,4,3,4,4,4
adrn,GollumEvent,4,4,4,4,4,4,4
sofiatti,DeleteEvent,3,3,3,2,3,3,3
profjsb,MemberEvent,3,3,3,3,3,3,3
RuthAngus,GollumEvent,3,3,3,3,3,3,3
Waelthus,ForkEvent,3,3,3,3,3,3,3
yalsayyad,ForkEvent,3,3,3,0,3,3,3
wilmatrick,IssuesEvent,3,3,3,0,3,3,3
jonathansick,MemberEvent,3,3,3,0,3,3,3
dhuppenkothen,ForkEvent,3,3,3,2,3,3,3
wilmatrick,IssueCommentEvent,3,3,3,0,3,3,3
bareid,PullRequestEvent,3,3,3,2,3,3,3
sofiatti,IssueCommentEvent,3,3,3,2,3,3,3
RuthAngus,CommitCommentEvent,3,3,3,3,3,3,3
jakevdp,PublicEvent,3,3,3,3,3,3,3
jonathansick,ReleaseEvent,3,3,3,2,3,3,3
kbarbary,GollumEvent,3,3,3,3,3,3,3
karenyyng,PublicEvent,3,3,3,0,3,3,3
nell-byler,PushEvent,3,3,3,3,3,3,3
wilmatrick,ForkEvent,2,2,2,1,2,2,2
ryanmaas,IssueCommentEvent,2,2,2,0,2,2,2
ryanmaas,PullRequestEvent,2,2,2,0,2,2,2
kbarbary,PublicEvent,2,2,2,1,2,2,2
ogtelford,ForkEvent,2,2,2,1,2,2,2
adrn,WatchEvent,2,2,2,2,2,2,2
kapadia,PullRequestReviewCommentEvent,2,2,2,0,2,2,2
ivezic,CommitCommentEvent,2,2,2,2,2,2,2
wilmatrick,PullRequestEvent,2,2,2,0,2,2,2
dhuppenkothen,IssueCommentEvent,2,2,2,2,2,2,2
wilmatrick,WatchEvent,2,2,2,2,2,2,2
yoachim,PullRequestReviewCommentEvent,2,2,2,0,2,2,2
jakevdp,ReleaseEvent,2,2,2,0,2,2,2
RuthAngus,WatchEvent,2,2,2,0,2,2,2
yalsayyad,MemberEvent,2,2,2,0,2,2,2
yoachim,ForkEvent,2,2,2,0,2,2,2
yoachim,MemberEvent,2,2,2,2,2,2,2
rhiannonlynne,WatchEvent,2,2,2,2,2,2,2
profjsb,WatchEvent,2,2,2,1,2,2,2
rbiswas4,DeleteEvent,2,2,2,0,2,2,2
patti,IssuesEvent,2,2,2,2,2,2,2
gully,MemberEvent,2,2,2,2,2,2,2
dhuppenkothen,PullRequestEvent,2,2,2,2,2,2,2
profjsb,PullRequestEvent,2,2,2,1,2,2,2
fperez,CommitCommentEvent,2,2,2,1,2,2,2
rbiswas4,MemberEvent,2,2,2,0,2,2,2
drphilmarshall,CommitCommentEvent,2,2,2,1,2,2,2
rbiswas4,GollumEvent,2,2,2,2,2,2,2
nell-byler,WatchEvent,2,2,2,2,2,2,2
profjsb,GollumEvent,1,1,1,1,1,1,1
drphilmarshall,WatchEvent,1,1,1,1,1,1,1
Waelthus,PullRequestEvent,1,1,1,1,1,1,1
Waelthus,GollumEvent,1,1,1,1,1,1,1
gully,DeleteEvent,1,1,1,1,1,1,1
dhuppenkothen,IssuesEvent,1,1,1,1,1,1,1
yalsayyad,GollumEvent,1,1,1,1,1,1,1
gully,CommitCommentEvent,1,1,1,1,1,1,1
drphilmarshall,PublicEvent,1,1,1,1,1,1,1
RuthAngus,PublicEvent,1,1,1,0,1,1,1
fperez,WatchEvent,1,1,1,0,1,1,1
yoachim,GollumEvent,1,1,1,1,1,1,1
jmankin,ForkEvent,1,1,1,1,1,1,1
jmankin,GollumEvent,1,1,1,1,1,1,1
ogtelford,MemberEvent,1,1,1,0,1,1,1
yoachim,PullRequestEvent,1,1,1,0,1,1,1
jradavenport,ReleaseEvent,1,1,1,0,1,1,1
wilmatrick,GollumEvent,1,1,1,1,1,1,1
kapadia,GollumEvent,1,1,1,1,1,1,1
kapadia,MemberEvent,1,1,1,0,1,1,1
dhuppenkothen,GollumEvent,1,1,1,1,1,1,1
gully,PublicEvent,1,1,1,1,1,1,1
lvrzhn,ForkEvent,1,1,1,0,1,1,1
gully,ReleaseEvent,1,1,1,1,1,1,1
ryanmaas,ForkEvent,1,1,1,1,1,1,1
ryanmaas,GollumEvent,1,1,1,1,1,1,1
drphilmarshall,DeleteEvent,1,1,1,0,1,1,1
ivezic,IssuesEvent,1,1,1,0,1,1,1
karenyyng,PullRequestEvent,1,1,1,1,1,1,1
ivezic,WatchEvent,1,1,1,0,1,1,1
bareid,IssueCommentEvent,1,1,1,1,1,1,1
lvrzhn,PushEvent,1,1,1,0,1,1,1
karenyyng,CommitCommentEvent,1,1,1,1,1,1,1
sofiatti,WatchEvent,1,1,1,1,1,1,1
nell-byler,GollumEvent,1,1,1,1,1,1,1
nell-byler,IssuesEvent,1,1,1,1,1,1,1
adrn,PublicEvent,1,1,1,1,1,1,1
nhuntwalker,WatchEvent,1,1,1,1,1,1,1
